Unnamed: 0,Country Name,Economic Freedom,Democracy Index,Regime Type,Continent,size,Country Code
87,Ghana,59.2,6.5,Flawed democracy,Africa,10,GHA
88,Trinidad and Tobago,59.0,7.16,Flawed democracy,North America,10,TTO
89,Papua New Guinea,58.9,6.1,Flawed democracy,Oceania,10,PNG
90,Nigeria,58.7,4.1,Hybrid regime,Africa,10,NGA
91,Uganda,58.6,4.94,Hybrid regime,Africa,10,UGA
92,China,58.4,2.27,Authoritarian,Asia,10,CHN
93,Uzbekistan,58.3,2.12,Authoritarian,Asia,10,UZB
94,Bhutan,58.3,5.71,Hybrid regime,Asia,10,BTN
95,Gabon,58.1,3.54,Authoritarian,Africa,10,GAB
96,Senegal,58.0,5.67,Hybrid regime,Africa,10,SEN
97,Madagascar,57.7,5.7,Hybrid regime,Africa,10,MDG
98,Togo,57.5,2.8,Authoritarian,Africa,10,TGO
99,Guyana,57.4,6.01,Flawed democracy,South America,10,GUY
100,Niger,57.3,3.29,Authoritarian,Africa,10,NER
101,Cambodia,57.3,3.1,Authoritarian,Asia,10,KHM
102,Tunisia,56.6,6.59,Flawed democracy,Africa,10,TUN
103,Bangladesh,56.5,5.99,Hybrid regime,Asia,10,BGD
104,India,56.5,6.61,Flawed democracy,Asia,10,IND
105,Guinea,56.5,3.08,Authoritarian,Africa,10,GIN
106,Burkina Faso,56.5,3.73,Authoritarian,Africa,10,BFA
107,Nicaragua,56.3,3.6,Authoritarian,North America,10,NIC
108,Djibouti,56.2,2.71,Authoritarian,Africa,10,DJI
109,Ukraine,56.2,5.81,Hybrid regime,Europe,10,UKR
110,Mauritania,56.1,3.92,Authoritarian,Africa,10,MRT
111,Egypt,55.7,2.93,Authoritarian,Africa,10,EGY
112,Sri Lanka,55.7,6.14,Flawed democracy,Asia,10,LKA
113,Comoros,55.7,3.09,Authoritarian,Africa,10,COM
114,Mali,55.6,3.93,Authoritarian,Africa,10,MLI
115,Tajikistan,55.2,1.94,Authoritarian,Asia,10,TJK
116,Myanmar,55.2,3.04,Authoritarian,Asia,10,MMR
117,Eswatini,55.1,3.08,Authoritarian,Africa,10,SWZ
118,Kenya,54.9,5.05,Hybrid regime,Africa,10,KEN
119,Guinea-Bissau,54.9,2.63,Authoritarian,Africa,10,GNB
120,Angola,54.2,3.66,Authoritarian,Africa,10,AGO
121,Lesotho,53.5,6.3,Flawed democracy,Africa,10,LSO
122,Brazil,53.4,6.92,Flawed democracy,South America,10,BRA
123,Cameroon,53.4,2.77,Authoritarian,Africa,10,CMR
124,Malawi,53.0,5.74,Hybrid regime,Africa,10,MWI
125,Afghanistan,53.0,2.85,Authoritarian,Asia,10,AFG
126,Argentina,52.7,6.95,Flawed democracy,South America,10,ARG
127,Ecuador,52.4,6.13,Flawed democracy,South America,10,ECU
128,Sierra Leone,51.7,4.86,Hybrid regime,Africa,10,SLE
129,Ethiopia,51.7,3.38,Authoritarian,Africa,10,ETH
130,Pakistan,51.7,4.31,Hybrid regime,Asia,10,PAK
131,Mozambique,51.6,3.51,Authoritarian,Africa,10,MOZ
132,Lebanon,51.4,4.16,Hybrid regime,Asia,10,LBN
133,Haiti,50.8,4.22,Hybrid regime,North America,10,HTI
134,Nepal,50.7,5.22,Hybrid regime,Asia,10,NPL
135,Chad,50.4,1.55,Authoritarian,Africa,10,TCD
136,Zambia,50.4,4.86,Hybrid regime,Africa,10,ZMB
137,Burundi,49.9,2.14,Authoritarian,Africa,10,BDI
138,Algeria,49.7,3.77,Authoritarian,Africa,10,DZA
139,Equatorial Guinea,49.2,1.92,Authoritarian,Africa,10,GNQ
140,Liberia,49.2,5.32,Hybrid regime,Africa,10,LBR
141,Central African Republic,48.8,1.32,Authoritarian,Africa,10,CAF
142,Iran,47.2,2.2,Authoritarian,Asia,10,IRN
143,Suriname,46.4,6.82,Flawed democracy,South America,10,SUR
144,Bolivia,42.7,5.08,Hybrid regime,South America,10,BOL
145,Eritrea,42.3,2.15,Authoritarian,Africa,10,ERI
146,Zimbabwe,39.5,3.16,Authoritarian,Africa,10,ZWE
147,Sudan,39.1,2.54,Authoritarian,Africa,10,SDN
148,Cuba,28.1,2.84,Authoritarian,North America,10,CUB
149,Venezuela,24.7,2.76,Authoritarian,South America,10,VEN
150,North Korea,5.2,1.08,Authoritarian,Asia,10,PRK
151,Democratic Republic of the Congo,49.0,1.13,Authoritarian,Africa,10,COD
152,Syria,49.0,1.43,Authoritarian,Asia,10,SYR
